KK_oil,Real juice,bedsheets,bottle,bournvita,bread,brush,cad silk,cheese,choco_pie,clg_plax,colgate,comfort _fabric,curtains,deo,det_soap,freshner,ghee,hairoil,handwash ,harpic ,icecream,jam,ketchup,maaza,maggi,magnum,mariegold,milkmaid,moong dal,mug,nescafe,nuggets,oreo ,paneer,pants,papad,parle_g,pears,pepsi,pickle,pizza_base,pohe,rasoi mix,rava,rice,rin ,shampoo,shirt,shoes,slim_shirt,socks,sugar,surf_excel,tea,tiffin,tissue,towel,tray ,wheat
2716.0,3320.0,1439.0,1280.0,3340.0,3003.0,1862.0,6660.0,2722.0,1701.0,1979.0,1862.0,2282.0,1438.0,6660.0,1998.0,1000.0,1416.0,1281.0,1838.0,0,6660.0,1420.0,10000.0,6660.0,10000.0,3340.0,3340.0,3340.0,6660.0,1322.0,0,6660.0,1700.0,3340.0,1881.0,6660.0,1561.0,1417.0,6660.0,2121.0,1720.0,1557.0,6660.0,1717.0,4722.0,1702.0,1421.0,1020.0,2983.0,2441.0,2983.0,3340.0,0,0,1280.0,6660.0,3340.0,1181.0,5002.0
2721.0,3321.0,1438.0,1280.0,3339.0,2998.0,1859.0,6661.0,2719.0,1704.0,1983.0,1859.0,2276.0,1439.0,6661.0,2002.0,1000.0,1423.0,1278.0,1843.0,1000.0,6661.0,1421.0,10000.0,6660.0,10000.0,3340.0,3340.0,3339.0,6660.0,1316.0,0,6660.0,1705.0,3340.0,1877.0,6661.0,1564.0,1422.0,6660.0,2121.0,1719.0,1562.0,6660.0,1721.0,4720.0,1697.0,1419.0,1018.0,2980.0,2437.0,2980.0,3339.0,0,0,1280.0,6660.0,3339.0,1177.0,5001.0
2717.0,3321.0,1440.0,1280.0,3339.0,2999.0,1859.0,6661.0,2719.0,1700.0,1982.0,1859.0,2282.0,1440.0,6661.0,2000.0,1001.0,1420.0,1281.0,1840.0,1001.0,6661.0,1420.0,10000.0,6661.0,9999.0,3339.0,3340.0,3340.0,6660.0,1319.0,0,6660.0,1700.0,3339.0,1880.0,6660.0,1560.0,1420.0,6661.0,2121.0,1719.0,1560.0,6661.0,1719.0,4722.0,1702.0,1422.0,1020.0,2984.0,2441.0,2983.0,3339.0,0,0,1280.0,6661.0,3340.0,1177.0,5002.0
2720.0,3320.0,1440.0,1280.0,3340.0,3000.0,1860.0,6660.0,2720.0,1700.0,1980.0,1860.0,2280.0,1440.0,6660.0,2000.0,1000.0,1420.0,1280.0,1840.0,1000.0,6660.0,1420.0,10000.0,6660.0,10000.0,3340.0,3340.0,3340.0,6660.0,1320.0,0,6660.0,1700.0,3340.0,1880.0,6660.0,1560.0,1420.0,6660.0,2120.0,1720.0,1560.0,6660.0,1720.0,4720.0,1700.0,1420.0,1020.0,2980.0,2440.0,2980.0,3340.0,0,0,1280.0,6660.0,3340.0,1180.0,5000.0
2720.0,3320.0,1440.0,1280.0,3340.0,3000.0,1860.0,6660.0,2720.0,1700.0,1980.0,1860.0,2280.0,1440.0,6660.0,2000.0,1000.0,1420.0,1280.0,1840.0,1000.0,6660.0,1420.0,10000.0,6660.0,10000.0,3340.0,3340.0,3340.0,6660.0,1320.0,0,6660.0,1700.0,3340.0,1880.0,6660.0,1560.0,1420.0,6660.0,2120.0,1720.0,1560.0,6660.0,1720.0,4720.0,1700.0,1420.0,1020.0,2980.0,2440.0,2980.0,3340.0,0,0,1280.0,6660.0,3340.0,1180.0,5000.0
2720.0,3320.0,1440.0,1280.0,3340.0,3000.0,1860.0,6660.0,2720.0,1700.0,1980.0,1860.0,2280.0,1440.0,6660.0,2000.0,1000.0,1420.0,1280.0,1840.0,1000.0,6660.0,1420.0,10000.0,6660.0,10000.0,3340.0,3340.0,3340.0,6660.0,1320.0,0,6660.0,1700.0,3340.0,1880.0,6660.0,1560.0,1420.0,6660.0,2120.0,1720.0,1560.0,6660.0,1720.0,4720.0,1700.0,1420.0,1020.0,2980.0,2440.0,2980.0,3340.0,0,0,1280.0,6660.0,3340.0,1180.0,5000.0
2723.0,3318.0,1441.0,1279.0,3340.0,2999.0,1859.0,6660.0,2719.0,1697.0,1980.0,1859.0,2282.0,1441.0,6660.0,1998.0,1001.0,1421.0,1282.0,1839.0,1002.0,6660.0,1419.0,10000.0,6658.0,10000.0,3342.0,3342.0,3341.0,6658.0,1322.0,0,6659.0,1697.0,3341.0,1883.0,6659.0,1557.0,1420.0,6658.0,2119.0,1720.0,1561.0,6658.0,1722.0,4720.0,1701.0,1421.0,1021.0,2977.0,2443.0,2977.0,3340.0,0,0,1279.0,6658.0,3341.0,1183.0,4999.0
2720.0,3320.0,1440.0,1280.0,3340.0,3000.0,1860.0,6660.0,2720.0,1700.0,1980.0,1860.0,2280.0,1440.0,6660.0,2000.0,1000.0,1420.0,1280.0,1840.0,1000.0,6660.0,1420.0,10000.0,6660.0,10000.0,3340.0,3340.0,3340.0,6660.0,1320.0,0,6660.0,1700.0,3340.0,1880.0,6660.0,1560.0,1420.0,6660.0,2120.0,1720.0,1560.0,6660.0,1720.0,4720.0,1700.0,1420.0,1020.0,2980.0,2440.0,2980.0,3340.0,0,0,1280.0,6660.0,3340.0,1180.0,5000.0
2720.0,3320.0,1440.0,1280.0,3340.0,3000.0,1860.0,6660.0,2720.0,1700.0,1980.0,1860.0,2280.0,1440.0,6660.0,2000.0,1000.0,1420.0,1280.0,1840.0,1000.0,6660.0,1420.0,10000.0,6660.0,10000.0,3340.0,3340.0,3340.0,6660.0,1320.0,0,6660.0,1700.0,3340.0,1880.0,6660.0,1560.0,1420.0,6660.0,2120.0,1720.0,1560.0,6660.0,1720.0,4720.0,1700.0,1420.0,1020.0,2980.0,2440.0,2980.0,3340.0,0,0,1280.0,6660.0,3340.0,1180.0,5000.0
2725.0,3320.0,1440.0,1280.0,3341.0,2999.0,1860.0,6659.0,2720.0,1699.0,1978.0,1860.0,2278.0,1441.0,6660.0,2003.0,1000.0,1423.0,1279.0,1843.0,1000.0,6660.0,1421.0,9999.0,6661.0,9998.0,3339.0,3339.0,3341.0,6661.0,1320.0,0,6662.0,1699.0,3339.0,1879.0,6658.0,1559.0,1422.0,6660.0,2119.0,1720.0,1562.0,6661.0,1723.0,4719.0,1699.0,1420.0,1021.0,2978.0,2438.0,2978.0,3340.0,0,0,1280.0,6661.0,3342.0,1181.0,4999.0
